Data;Fechamento;Abertura;Maxima;Minima;Var%
30102001;4543.98;4658.52;4658.52;4476.61;-2.50%
31102001;4559.13;4526.85;4626.02;4457.72;0.33%
01112001;4636.13;4556.71;4637.18;4481.55;1.69%
02112001;4583.31;4641.36;4658.47;4568.64;-1.14%
05112001;4755.11;4588.69;4755.11;4588.69;3.75%
06112001;4707.65;4767.61;4819.90;4707.65;-1.00%
07112001;4860.66;4715.15;4862.85;4676.25;3.25%
08112001;4993.57;4851.38;5005.95;4833.59;2.73%
09112001;4910.07;4990.81;4990.81;4886.31;-1.67%
12112001;4820.37;4907.61;4910.12;4648.68;-1.83%
13112001;4946.97;4825.55;4970.03;4821.82;2.63%
14112001;4953.53;4950.74;5047.19;4939.83;0.13%
15112001;5006.33;4960.59;5073.25;4960.59;1.07%
16112001;5062.64;5015.56;5114.40;4989.21;1.12%
19112001;5185.10;5071.63;5193.66;5071.63;2.42%
20112001;5096.18;5187.19;5212.03;5016.92;-1.71%
21112001;5087.03;5091.49;5151.99;5040.61;-0.18%
22112001;5124.54;5089.90;5143.62;5083.75;0.74%
23112001;5150.97;5131.68;5160.19;5031.39;0.52%
26112001;5114.12;5159.81;5217.47;5106.06;-0.72%
27112001;5059.57;5117.52;5147.83;4969.18;-1.07%
28112001;4915.95;5031.15;5031.15;4915.15;-2.84%
29112001;4936.08;4897.96;4975.42;4874.23;0.41%
30112001;4989.91;4954.20;5042.43;4954.20;1.09%
03122001;4988.44;4986.58;4996.43;4872.25;-0.03%
04122001;5013.99;4989.03;5040.20;4978.06;0.51%
05122001;5262.75;5020.07;5282.01;5020.07;4.96%
06122001;5271.29;5258.47;5341.86;5241.24;0.16%
07122001;5199.03;5277.18;5297.90;5199.03;-1.37%
10122001;5124.68;5200.54;5212.95;5113.41;-1.43%
11122001;5146.45;5121.68;5169.15;5075.43;0.42%
12122001;5062.56;5149.38;5193.96;5028.16;-1.63%
13122001;4966.05;5053.87;5096.82;4947.82;-1.91%
14122001;4909.42;4957.10;4983.86;4901.04;-1.14%
17122001;5067.99;4913.93;5098.25;4905.28;3.23%
18122001;5039.64;5061.84;5115.79;5037.87;-0.56%
19122001;4984.69;5036.03;5061.25;4948.28;-1.09%
20122001;4934.14;4990.92;5026.82;4924.63;-1.01%
21122001;5019.01;4930.04;5024.81;4877.57;1.72%
27122001;5117.13;5032.87;5117.13;5032.87;1.95%
28122001;5160.10;5110.22;5175.57;5110.22;0.84%
02012002;5167.88;5155.26;5195.56;5107.36;0.15%
03012002;5270.29;5175.18;5288.23;5175.18;1.98%
04012002;5318.73;5291.60;5352.16;5262.92;0.92%
07012002;5232.22;5327.40;5347.12;5220.99;-1.63%
08012002;5236.37;5211.23;5260.62;5185.07;0.08%
09012002;5288.21;5228.18;5303.81;5180.32;0.99%
10012002;5228.11;5265.81;5265.81;5172.04;-1.14%
11012002;5209.97;5228.09;5270.44;5188.43;-0.35%
14012002;5065.84;5206.23;5206.23;5055.62;-2.77%
15012002;5062.04;5059.84;5107.56;5029.48;-0.08%
16012002;4984.20;5050.35;5052.81;4974.58;-1.54%
17012002;5133.40;4985.37;5135.99;4985.37;2.99%
18012002;5122.23;5118.27;5133.62;5065.03;-0.22%
21012002;5069.74;5122.40;5122.40;5021.21;-1.02%
22012002;5045.72;5069.84;5136.42;5028.89;-0.47%
23012002;5163.03;5048.81;5169.53;5006.26;2.32%
24012002;5170.44;5169.03;5219.85;5146.60;0.14%
25012002;5156.63;5168.52;5169.80;5081.72;-0.27%
28012002;5159.02;5156.52;5203.77;5129.24;0.05%
29012002;5084.52;5165.06;5205.63;5073.07;-1.44%
30012002;5052.20;5065.62;5066.42;4980.70;-0.64%
31012002;5107.61;5068.89;5119.51;5054.42;1.10%
01022002;5097.06;5109.48;5165.97;5082.43;-0.21%
04022002;4984.48;5088.83;5093.49;4984.48;-2.21%
05022002;4936.75;4981.47;4981.47;4869.81;-0.96%
06022002;4804.41;4937.19;4946.08;4778.36;-2.68%
07022002;4862.62;4798.03;4873.59;4730.70;1.21%
08022002;4835.95;4850.39;4896.55;4806.78;-0.55%
11022002;4940.00;4845.24;4945.37;4845.24;2.15%
12022002;4884.78;4945.75;4975.57;4858.81;-1.12%
13022002;4935.35;4891.01;4945.87;4834.15;1.04%
14022002;4973.77;4945.23;4992.60;4916.55;0.78%
15022002;4862.60;4967.51;4969.86;4856.17;-2.24%
18022002;4871.76;4865.83;4894.49;4840.88;0.19%
19022002;4764.05;4855.70;4855.70;4757.73;-2.21%
20022002;4780.24;4765.90;4803.30;4706.01;0.34%
21022002;4850.73;4797.93;4868.13;4788.40;1.47%
22022002;4745.58;4846.67;4846.67;4730.15;-2.17%
25022002;4863.54;4758.83;4867.09;4731.41;2.49%
26022002;4897.75;4863.34;4937.02;4860.27;0.70%
27022002;4960.22;4913.00;5003.68;4913.00;1.28%
28022002;5039.08;4945.14;5072.43;4926.62;1.59%
01032002;5097.41;5025.96;5116.14;5003.06;1.16%
